Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm008,122,L Middle Temporal Gyrus,2,0.73,0.758,0.647,0.634
k12wm002,32,L Postcentral Gyrus,4,0.91,0.728,0.829,0.633
k12wm008,31,R Middle Temporal Gyrus,3,0.803,0.563,0.709,0.633
k12wm010,61,L IFG (p Opercularis),1,0.91,0.619,0.799,0.633
k12wm006,38,L Middle Temporal Gyrus,4,0.929,0.693,0.877,0.632
k12wm010,82,L IFG (p Opercularis),1,0.903,0.61,0.824,0.632
k12wm010,82,L IFG (p Opercularis),2,0.786,0.471,0.728,0.632
k12wm013,18,L Postcentral Gyrus,4,1,0.474,0.789,0.632
k12wm003,37,L IFG (p Triangularis),1,0.675,0.619,0.531,0.631
k12wm011,125,L IFG (p Triangularis),3,0.724,0.32,0.648,0.631
k12wm003,32,L Insula Lobe,4,0.843,0.767,0.74,0.63
k12wm007,57,L ACC,4,0.885,0.63,0.815,0.63
k12wm009,22,L Inferior Temporal Gyrus,1,0.714,0.696,0.645,0.63
k12wm009,41,L IFG (p Triangularis),3,0.757,0.603,0.603,0.63
k12wm009,56,L SupraMarginal Gyrus,3,0.645,0.719,0.622,0.63
k12wm010,67,L Precentral Gyrus,1,0.935,0.663,0.88,0.63
k12wm011,106,L Middle Frontal Gyrus,3,0.764,0.585,0.652,0.63
k12wm013,21,L Postcentral Gyrus,1,0.75,0.444,0.667,0.63
k12wm008,128,L Hippocampus,3,0.861,0.714,0.61,0.629
k12wm009,37,L Insula Lobe,3,0.725,0.616,0.642,0.629
k12wm009,39,L IFG (p Opercularis),4,0.694,0.757,0.607,0.629
k12wm010,130,L Superior Temporal Gyrus,3,0.879,0.712,0.773,0.629
k12wm011,155,R Fusiform Gyrus,4,0.731,0.278,0.616,0.629
k12wm010,72,L ACC,3,0.661,0.729,0.512,0.628
k12wm010,72,L ACC,4,0.743,0.667,0.55,0.628
k12wm006,29,L IFG (p Triangularis),1,0.713,0.354,0.646,0.627
k12wm008,16,R Inferior Temporal Gyrus,2,0.75,0.677,0.703,0.627
k12wm008,101,R Insula Lobe,2,0.859,0.285,0.772,0.627
k12wm010,40,L IFG (p Orbitalis),1,0.931,0.381,0.709,0.627
k12wm011,158,R Middle Temporal Gyrus,4,0.816,0.321,0.716,0.627
k12wm002,3,Left Amygdala,4,0.839,0.45,0.771,0.626
k12wm003,61,L IFG (p Orbitalis),4,0.75,0.611,0.618,0.626
k12wm010,61,L IFG (p Opercularis),3,0.765,0.482,0.712,0.626
k12wm007,41,L Insula Lobe,1,0.964,0.661,0.786,0.625
k12wm007,62,L IFG (p Triangularis),4,0.857,0.607,0.643,0.625
k12wm007,67,L Superior Orbital Gyrus,1,0.821,0.768,0.625,0.625
k12wm007,68,L IFG (p Orbitalis),4,0.857,0.393,0.696,0.625
k12wm007,88,R Fusiform Gyrus,3,0.929,0.732,0.893,0.625
k12wm007,89,R Fusiform Gyrus,4,0.857,0.589,0.679,0.625
k12wm007,90,R Fusiform Gyrus,4,0.857,0.321,0.714,0.625
k12wm010,129,L Superior Temporal Gyrus,3,0.827,0.288,0.75,0.625
k12wm013,10,L Rolandic Operculum,4,0.889,0.469,0.781,0.625
k12wm013,12,L Precentral Gyrus,4,0.889,0.594,0.781,0.625
k12wm013,46,L Middle Frontal Gyrus,4,0.875,0.312,0.812,0.625
k12wm010,23,L Inferior Temporal Gyrus,3,0.925,0.667,0.742,0.624
k12wm007,15,L Middle Temporal Gyrus,1,0.885,0.66,0.604,0.623
k12wm007,24,L Middle Temporal Gyrus,1,0.786,0.642,0.736,0.623
k12wm007,24,L Middle Temporal Gyrus,2,0.821,0.547,0.66,0.623
k12wm007,47,L Insula Lobe,3,1,0.717,0.868,0.623
k12wm008,121,L Inferior Temporal Gyrus,2,0.737,0.734,0.688,0.623
k12wm010,39,L IFG (p Orbitalis),2,0.812,0.761,0.659,0.623
k12wm010,42,L IFG (p Orbitalis),1,0.676,0.715,0.631,0.623
k12wm011,125,L IFG (p Triangularis),4,0.743,0.664,0.713,0.623
k12wm002,31,L Postcentral Gyrus,4,0.97,0.756,0.785,0.622
k12wm008,61,R Inferior Temporal Gyrus,2,0.713,0.744,0.705,0.622
k12wm009,56,L SupraMarginal Gyrus,1,0.743,0.704,0.622,0.622
k12wm002,8,L Middle Temporal Gyrus,3,0.828,0.284,0.724,0.621
k12wm009,35,L Inferior Temporal Gyrus,4,0.68,0.631,0.641,0.621
k12wm010,127,L Superior Temporal Gyrus,2,0.717,0.771,0.65,0.621
k12wm011,165,L Middle Temporal Gyrus,3,0.716,0.276,0.634,0.621
k12wm013,82,R Insula Lobe,3,0.929,0.759,0.862,0.621
k12wm013,83,R Insula Lobe,2,1,0.621,0.759,0.621
k12wm013,83,R Insula Lobe,4,1,0.483,0.724,0.621
k12wm013,97,R Medial Temporal Pole,3,0.75,0.345,0.655,0.621
k12wm006,11,L Hippocampus,3,0.737,0.34,0.673,0.62
k12wm006,39,L Middle Temporal Gyrus,4,1,0.72,0.82,0.62
k12wm008,4,R Hippocampus,3,0.692,0.639,0.627,0.62
k12wm010,67,L Precentral Gyrus,3,0.806,0.489,0.674,0.62
k12wm006,5,L Middle Temporal Gyrus,3,0.652,0.278,0.667,0.619
k12wm008,128,L Hippocampus,4,0.679,0.705,0.552,0.619
k12wm002,23,Left Cerebral White Matter,3,0.662,0.389,0.588,0.618
k12wm002,104,R Middle Frontal Gyrus,1,0.818,0.276,0.724,0.618
k12wm008,5,R Fusiform Gyrus,4,0.863,0.745,0.828,0.618
k12wm008,41,R Insula Lobe,3,0.987,0.631,0.943,0.618
k12wm002,44,L Middle Frontal Gyrus,1,0.908,0.289,0.698,0.617
k12wm006,35,L Superior Temporal Gyrus,4,1,0.688,0.877,0.617
k12wm011,48,L Middle Frontal Gyrus,3,0.906,0.656,0.75,0.617
k12wm002,101,Right Cerebral White Matter,4,0.819,0.662,0.748,0.616
k12wm003,45,L Superior Temporal Gyrus,4,0.987,0.365,0.943,0.616
k12wm008,11,R ParaHippocampal Gyrus,2,0.891,0.529,0.717,0.616
k12wm009,13,Left Cerebral White Matter,3,0.82,0.505,0.657,0.616
k12wm009,70,R Inferior Temporal Gyrus,4,0.738,0.265,0.656,0.616
k12wm002,102,Right Cerebral White Matter,4,1,0.734,0.853,0.615
k12wm007,7,L Middle Temporal Gyrus,4,0.692,0.288,0.577,0.615
k12wm007,79,L Fusiform Gyrus,4,1,0.346,0.865,0.615
k12wm010,86,Left Cerebral White Matter,3,0.641,0.723,0.554,0.615
k12wm013,122,R Superior Temporal Gyrus,2,1,0.769,0.731,0.615
